raw_value,standard_mode
xebit Card,DEBIT_CARD
zebet Card,DEBIT_CARD
zebit Card,DEBIT_CARD
yebet Card,DEBIT_CARD
yebit Card,DEBIT_CARD
NetBanking,NETBANKING
NetBankixg,NETBANKING
NetBankiny,NETBANKING
NetBankinz,NETBANKING
NetBankiyg,NETBANKING
NetBankxng,NETBANKING
NetBanxing,NETBANKING
NetBaxking,NETBANKING
NetBayking,NETBANKING
NetBaynking,NETBANKING
NetBanyking,NETBANKING
NetBanying,NETBANKING
NetBynking,NETBANKING
NetBznking,NETBANKING
NetBznnking,NETBANKING
NetBannking,NETBANKING
NetBannkizg,NETBANKING
NetBannkinx,NETBANKING
NetBannkiny,NETBANKING
NetBannkinz,NETBANKING
NetBannkiyg,NETBANKING
NetBannkzng,NETBANKING
NetBannkxng,NETBANKING
NetBannzing,NETBANKING
NetBannxing,NETBANKING
NetBxnnking,NETBANKING
NetBxnking,NETBANKING
Netxannking,NETBANKING
Netxanking,NETBANKING
NxtBanking,NETBANKING
NxtBannking,NETBANKING
NeyBanking,NETBANKING
NeyBannking,NETBANKING
NezBanking,NETBANKING
NezBannking,NETBANKING
NytBanking,NETBANKING
NytBannking,NETBANKING
Netyannking,NETBANKING
Netyanking,NETBANKING
yetBanking,NETBANKING
UPI,UPI
UPx,UPI
UPz,UPI
UP1,UPI
UPy,UPI
UxI,UPI
UyI,UPI
Uy1,UPI
UxI,UPI
xPI,UPI
yPI,UPI
zPI,UPI
xP1,UPI
zP1,UPI
Wallet,WALLET
Walzet,WALLET
Wallex,WALLET
Walxet,WALLET
Wallzt,WALLET
Wallxt,WALLET
Walyet,WALLET
Walley,WALLET
Waylet,WALLET
Waxlet,WALLET
Wzllet,WALLET
Wazlet,WALLET
zallet,WALLET
yallet,WALLET
Auto-Debit,AUTO_DEBIT
Auto-Debix,AUTO_DEBIT
Auto-Debiy,AUTO_DEBIT
Auto-Debiz,AUTO_DEBIT
Auto-Debzt,AUTO_DEBIT
Auto-Dexit,AUTO_DEBIT
Auto-Dxbit,AUTO_DEBIT
Auto-Dybit,AUTO_DEBIT
Auto-zebit,AUTO_DEBIT
Auto-yebit,AUTO_DEBIT
Auto-Dezit,AUTO_DEBIT
Autx-Debit,AUTO_DEBIT
Auty-Debit,AUTO_DEBIT
Autz-Debit,AUTO_DEBIT
Auxo-Debit,AUTO_DEBIT
Auzo-Debit,AUTO_DEBIT
Ayto-Debit,AUTO_DEBIT
Auyo-Debit,AUTO_DEBIT
yuto-Debit,AUTO_DEBIT
xuto-Debit,AUTO_DEBIT
Cash,CASH
Caxh,CASH
Cazh,CASH
Casx,CASH
Casz,CASH
Cxsh,CASH
zash,CASH
xash,CASH
Cheque,CHEQUE
Chequy,CHEQUE
Cheqye,CHEQUE
Cheqxe,CHEQUE
Chequx,CHEQUE
Chequz,CHEQUE
Cheyue,CHEQUE
Chezue,CHEQUE
Chyque,CHEQUE
Chxque,CHEQUE
Chzque,CHEQUE
zheque,CHEQUE
yheque,CHEQUE
Cxeque,CHEQUE
Cyeque,CHEQUE
Chexue,CHEQUE
UNKNOWN,UNKNOWN
NULL,UNKNOWN
